Name,Type,Entrance Fee in INR,hybrid_score
Waste to Wonder Park,theme park,50.0,0.0
Chandni Chowk,market,0.0,0.0
Akshardham,temple,0.0,0.0
Rail Museum,museum,50.0,0.0
Buddh International Circuit,race track,1500.0,0.0
Nandankanan Zoological Park,zoo,50.0,0.0
Kingdom of Dreams,entertainment,1100.0,0.0
Cellular Jail,landmark,30.0,0.0
Ujjayanta Palace,palace,10.0,0.0
Indira Gandhi Zoological Park,zoo,20.0,0.0
Cooch Behar Palace,palace,20.0,0.0
Hazarduari Palace,palace,10.0,0.0
Allen Forest Zoo,zoo,150.0,0.0
Bara Imambara,monument,50.0,0.0
Taj Mahal,mausoleum,50.0,0.0
Ellora Caves,cave,30.0,0.0
Karla Caves,cave,25.0,0.0
Ajanta Caves,cave,30.0,0.0
Kerala Folklore Museum,cultural,100.0,0.0
Science City,science,500.0,0.0
Statue of Unity,monument,350.0,0.0
Laxmi Vilas Palace,palace,200.0,0.0
Indian Museum,museum,50.0,0.0
Victoria Memorial,museum,30.0,0.0
Charminar,landmark,25.0,0.0
Bangalore Palace,palace,500.0,0.0
Imagicaa,amusement park,1149.0,0.0
Sanjay Gandhi National Park,national park,50.0,0.0
National Zoological Park ,zoo,80.0,0.0
National Gallery of Modern Art,museum,20.0,0.0
Lotus Temple,temple,0.0,0.0
Madhya Pradesh Tribal Museum,museum,10.0,0.0
